Award Date,Funding Growth %,Award Amount USD
1/17/24,,"742,717"
2/4/21,0.3458,"999,550"
2/7/23,-0.29008,"709,597"
2/13/19,0.1512,"816,886"
3/12/24,0.21213,"990,170"
3/17/24,0.35947,"1,346,104"
3/27/20,-0.84582,"207,540"
3/28/21,3.3573,"904,314"
4/4/21,0.06554,"963,587"
4/10/23,-0.59803,"387,330"
4/12/21,0.83108,"709,231"
4/13/20,-0.61836,"270,674"
4/18/23,0.22608,"331,869"
4/23/24,1.33981,"776,510"
4/29/19,-0.41717,"452,572"
5/6/24,1.24594,"1,016,449"
5/11/19,-0.40631,"603,457"
5/17/21,0.04576,"631,071"
5/22/20,-0.30973,"435,612"
5/24/20,-0.07969,"400,896"
5/26/19,0.8437,"739,131"
5/26/23,-0.05842,"695,948"
6/11/23,0.31265,"913,536"
6/26/21,0.14639,"1,047,272"
7/7/21,-0.66867,"346,991"
7/13/19,-0.1307,"301,639"
7/18/21,-0.32568,"203,402"
7/24/20,2.36821,"685,100"
8/16/21,0.10176,"754,816"
8/17/19,-0.32731,"507,757"
8/28/22,0.51026,"766,847"
9/20/23,0.1345,"869,987"
9/28/19,0.10173,"958,490"
10/2/22,-0.2603,"708,993"
10/11/22,0.24853,"885,197"
10/25/20,-0.19528,"712,340"
10/28/22,0.58319,"1,127,767"
10/29/23,0.0536,"1,188,210"
12/16/21,-0.06177,"1,114,812"
