Region,State/Province,Category,Sub-Category,Segment,Average Order Value,Profit Margin,Distinct count of Customer ID,Distinct count of Order ID,Discount,Profit,Quantity,Sales
Central,Illinois,Furniture,Chairs,Home Office,460.36,-0.16185,9,9,2.7,-670.58,48,"4,143.20"
Central,Illinois,Furniture,Chairs,Corporate,281.39,-0.03618,7,7,2.1,-71.27,23,"1,969.71"
Central,Illinois,Furniture,Chairs,Consumer,402.39,-0.09903,20,21,6.6,-836.85,76,"8,450.27"
Central,Illinois,Furniture,Furnishings,Home Office,75.68,-1.10947,11,11,6.6,-923.59,31,832.47
Central,Illinois,Furniture,Furnishings,Corporate,32.55,-0.57953,11,11,7.8,-207.52,55,358.08
Central,Illinois,Furniture,Furnishings,Consumer,58.19,-0.88944,28,29,19.8,"-1,500.87",107,"1,687.43"
Central,Illinois,Furniture,Bookcases,Home Office,359.06,-0.1,1,1,0.3,-35.91,3,359.06
Central,Illinois,Furniture,Bookcases,Corporate,483.27,-0.13659,2,2,0.6,-132.02,11,966.55
Central,Illinois,Furniture,Bookcases,Consumer,492.85,-0.13119,6,6,2.1,-387.95,29,"2,957.09"
Central,Illinois,Furniture,Tables,Home Office,462.1,-0.62531,3,3,1.5,-866.87,11,"1,386.31"
Central,Illinois,Furniture,Tables,Corporate,719.1,-0.65815,1,1,1,-473.27,8,719.1
Central,Illinois,Furniture,Tables,Consumer,341.94,-0.66804,13,13,6.5,"-2,969.61",46,"4,445.27"
Central,Illinois,Office Supplies,Paper,Home Office,84.99,0.35289,11,13,3,389.88,58,"1,104.83"
Central,Illinois,Office Supplies,Paper,Corporate,51.94,0.33421,18,18,3.6,312.49,71,935
Central,Illinois,Office Supplies,Paper,Consumer,59,0.33991,24,24,5.4,481.31,117,"1,415.98"
Central,Illinois,Office Supplies,Binders,Home Office,85.18,-1.53105,11,12,10.4,"-1,565.01",55,"1,022.18"
Central,Illinois,Office Supplies,Binders,Corporate,138.54,-1.58757,19,20,17.6,"-4,398.82",101,"2,770.78"
Central,Illinois,Office Supplies,Binders,Consumer,16.95,-1.66379,41,44,36,"-1,240.50",171,745.58
Central,Illinois,Office Supplies,Storage,Home Office,217.33,-0.08333,8,8,1.6,-144.88,27,"1,738.63"
Central,Illinois,Office Supplies,Storage,Corporate,130.85,-0.12147,12,12,2.8,-190.73,50,"1,570.19"
Central,Illinois,Office Supplies,Storage,Consumer,240.48,0.01354,24,24,5,78.15,74,"5,771.50"
Central,Illinois,Office Supplies,Appliances,Home Office,70.97,-2.7,1,1,0.8,-191.62,5,70.97
Central,Illinois,Office Supplies,Appliances,Corporate,40.3,-2.51526,7,7,5.6,-709.55,26,282.1
Central,Illinois,Office Supplies,Appliances,Consumer,51.8,-2.54363,11,12,9.6,"-1,581.25",45,621.65
Central,Illinois,Office Supplies,Envelopes,Corporate,9.91,0.325,1,1,0.2,3.22,3,9.91
Central,Illinois,Office Supplies,Envelopes,Consumer,53.46,0.34557,7,7,1.4,129.31,19,374.19
Central,Illinois,Office Supplies,Art,Home Office,22.79,0.15403,8,8,1.8,28.08,28,182.34
Central,Illinois,Office Supplies,Art,Corporate,15.29,0.13896,7,7,1.4,14.87,29,107.02
Central,Illinois,Office Supplies,Art,Consumer,32.03,0.14984,20,20,4.2,96,92,640.67
